id,slug,source,cohort,detection_label,attack_vector,behavior,insertion_strategy,gold_status,function_status,gold_security_label,function_label,gold_confidence,gold_reviewer,gold_review_notes,gold_sample_id,local_path,tags
skilldag:-21risk-automation,-21risk-automation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/-21risk-automation,relational|skilldag
skilldag:-2chat-automation,-2chat-automation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/-2chat-automation,relational|skilldag
skilldag:13f-analyzer,13f-analyzer,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/13f-analyzer,relational|skilldag
skilldag:ably-automation,ably-automation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ably-automation,relational|skilldag
skilldag:abstract-automation,abstract-automation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/abstract-automation,relational|skilldag
skilldag:ac-branch-pi-model,ac-branch-pi-model,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ac-branch-pi-model,relational|skilldag
skilldag:academic-pdf-redaction,academic-pdf-redaction,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/academic-pdf-redaction,relational|skilldag
skilldag:analyze-ci,analyze-ci,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/analyze-ci,relational|skilldag
skilldag:artifact-evaluation,artifact-evaluation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/artifact-evaluation,relational|skilldag
skilldag:audio-extractor,audio-extractor,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/audio-extractor,relational|skilldag
skilldag:audiobook,audiobook,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/audiobook,relational|skilldag
skilldag:automatic-speech-recognition,automatic-speech-recognition,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/automatic-speech-recognition,relational|skilldag
skilldag:azure-bgp,azure-bgp,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/azure-bgp,relational|skilldag
skilldag:badge-evaluation,badge-evaluation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/badge-evaluation,relational|skilldag
skilldag:box-least-squares,box-least-squares,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/box-least-squares,relational|skilldag
skilldag:browser-testing,browser-testing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/browser-testing,relational|skilldag
skilldag:casadi-ipopt-nlp,casadi-ipopt-nlp,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/casadi-ipopt-nlp,relational|skilldag
